community_area,community_name,spatial_cluster
1,ROGERS PARK,0
2,WEST RIDGE,0
3,UPTOWN,0
4,LINCOLN SQUARE,0
5,NORTH CENTER,0
6,LAKE VIEW,0
7,LINCOLN PARK,0
8,NEAR NORTH SIDE,0
9,EDISON PARK,0
10,NORWOOD PARK,0
11,JEFFERSON PARK,0
12,FOREST GLEN,0
13,NORTH PARK,0
14,ALBANY PARK,0
15,PORTAGE PARK,0
16,IRVING PARK,0
17,DUNNING,0
18,MONTCLARE,1
19,BELMONT CRAGIN,0
20,HERMOSA,0
21,AVONDALE,0
22,LOGAN SQUARE,0
23,HUMBOLDT PARK,0
24,WEST TOWN,0
25,AUSTIN,0
26,WEST GARFIELD PARK,0
27,EAST GARFIELD PARK,0
28,NEAR WEST SIDE,0
29,NORTH LAWNDALE,0
30,SOUTH LAWNDALE,0
31,LOWER WEST SIDE,0
32,LOOP,0
33,NEAR SOUTH SIDE,0
34,ARMOUR SQUARE,1
35,DOUGLAS,1
36,OAKLAND,1
37,FULLER PARK,1
38,GRAND BOULEVARD,1
39,KENWOOD,1
40,WASHINGTON PARK,1
41,HYDE PARK,1
42,WOODLAWN,1
43,SOUTH SHORE,1
44,CHATHAM,1
45,AVALON PARK,1
46,SOUTH CHICAGO,1
47,BURNSIDE,1
48,CALUMET HEIGHTS,1
49,ROSELAND,1
50,PULLMAN,1
51,SOUTH DEERING,1
52,EAST SIDE,1
53,WEST PULLMAN,1
54,RIVERDALE,1
55,HEGEWISCH,1
56,GARFIELD RIDGE,0
57,ARCHER HEIGHTS,0
58,BRIGHTON PARK,0
59,MCKINLEY PARK,0
60,BRIDGEPORT,0
61,NEW CITY,0
62,WEST ELSDON,0
63,GAGE PARK,0
64,CLEARING,0
65,WEST LAWN,0
66,CHICAGO LAWN,0
67,WEST ENGLEWOOD,0
68,ENGLEWOOD,0
69,GREATER GRAND CROSSING,1
70,ASHBURN,0
71,AUBURN GRESHAM,1
72,BEVERLY,1
73,WASHINGTON HEIGHTS,1
74,MOUNT GREENWOOD,1
75,MORGAN PARK,1
76,OHARE,0
77,EDGEWATER,0
