community_area,community_name,temporal_cluster,total_60d_workload,mean_daily_workload,max_daily_workload,workload_trend_last_vs_first
1,ROGERS PARK,1,184.0,3.0666666,11.0,-1.0
2,WEST RIDGE,1,351.0,5.85,32.0,-2.0
3,UPTOWN,1,168.0,2.8,10.0,3.0
4,LINCOLN SQUARE,1,195.0,3.25,33.0,5.0
5,NORTH CENTER,1,151.0,2.5166667,9.0,-3.0
6,LAKE VIEW,0,272.0,4.5333333,18.0,14.0
7,LINCOLN PARK,2,268.0,4.4666667,16.0,0.0
8,NEAR NORTH SIDE,0,423.0,7.05,24.0,12.0
9,EDISON PARK,1,124.0,2.0666666,24.0,6.0
10,NORWOOD PARK,2,391.0,6.516667,22.0,20.0
11,JEFFERSON PARK,1,172.0,2.8666666,13.0,2.0
12,FOREST GLEN,1,194.0,3.2333333,11.0,4.0
13,NORTH PARK,1,208.0,3.4666667,15.0,1.0
14,ALBANY PARK,1,234.0,3.9,12.0,2.0
15,PORTAGE PARK,0,430.0,7.1666665,24.0,-6.0
16,IRVING PARK,2,308.0,5.133333,20.0,2.0
17,DUNNING,0,281.0,4.6833334,20.0,1.0
18,MONTCLARE,0,117.0,1.95,10.0,-1.0
19,BELMONT CRAGIN,0,394.0,6.5666666,24.0,-12.0
20,HERMOSA,1,98.0,1.6333333,12.0,-1.0
21,AVONDALE,1,192.0,3.2,13.0,-4.0
22,LOGAN SQUARE,0,369.0,6.15,17.0,3.0
23,HUMBOLDT PARK,1,290.0,4.8333335,18.0,1.0
24,WEST TOWN,0,440.0,7.3333335,25.0,-5.0
25,AUSTIN,2,509.0,8.483334,25.0,-3.0
26,WEST GARFIELD PARK,1,83.0,1.3833333,7.0,1.0
27,EAST GARFIELD PARK,1,129.0,2.15,15.0,-2.0
28,NEAR WEST SIDE,2,493.0,8.216666,28.0,-5.0
29,NORTH LAWNDALE,0,205.0,3.4166667,13.0,3.0
30,SOUTH LAWNDALE,2,321.0,5.35,23.0,2.0
31,LOWER WEST SIDE,0,227.0,3.7833333,14.0,-5.0
32,LOOP,0,352.0,5.866667,24.0,0.0
33,NEAR SOUTH SIDE,0,136.0,2.2666667,14.0,0.0
34,ARMOUR SQUARE,1,87.0,1.45,9.0,1.0
35,DOUGLAS,0,75.0,1.25,8.0,4.0
36,OAKLAND,1,24.0,0.4,2.0,1.0
37,FULLER PARK,1,35.0,0.5833333,4.0,0.0
38,GRAND BOULEVARD,1,67.0,1.1166667,9.0,8.0
39,KENWOOD,1,60.0,1.0,8.0,4.0
40,WASHINGTON PARK,1,114.0,1.9,9.0,3.0
41,HYDE PARK,1,114.0,1.9,10.0,-3.0
42,WOODLAWN,1,116.0,1.9333333,10.0,-3.0
43,SOUTH SHORE,0,158.0,2.6333334,14.0,1.0
44,CHATHAM,0,135.0,2.25,9.0,6.0
45,AVALON PARK,1,66.0,1.1,6.0,1.0
46,SOUTH CHICAGO,0,182.0,3.0333333,21.0,3.0
47,BURNSIDE,1,14.0,0.23333333,4.0,0.0
48,CALUMET HEIGHTS,1,141.0,2.35,15.0,-1.0
49,ROSELAND,2,296.0,4.9333334,16.0,-1.0
50,PULLMAN,1,67.0,1.1166667,7.0,4.0
51,SOUTH DEERING,1,156.0,2.6,14.0,3.0
52,EAST SIDE,1,160.0,2.6666667,17.0,4.0
53,WEST PULLMAN,1,176.0,2.9333334,12.0,3.0
54,RIVERDALE,1,53.0,0.8833333,8.0,-1.0
55,HEGEWISCH,1,112.0,1.8666667,11.0,-2.0
56,GARFIELD RIDGE,2,232.0,3.8666666,14.0,4.0
57,ARCHER HEIGHTS,1,95.0,1.5833334,8.0,1.0
58,BRIGHTON PARK,1,210.0,3.5,21.0,5.0
59,MCKINLEY PARK,1,127.0,2.1166666,10.0,-5.0
60,BRIDGEPORT,1,165.0,2.75,11.0,-2.0
61,NEW CITY,0,281.0,4.6833334,17.0,3.0
62,WEST ELSDON,1,86.0,1.4333333,6.0,6.0
63,GAGE PARK,1,136.0,2.2666667,11.0,2.0
64,CLEARING,1,116.0,1.9333333,16.0,-3.0
65,WEST LAWN,1,186.0,3.1,23.0,1.0
66,CHICAGO LAWN,1,270.0,4.5,12.0,-3.0
67,WEST ENGLEWOOD,0,184.0,3.0666666,14.0,-3.0
68,ENGLEWOOD,1,140.0,2.3333333,7.0,-1.0
69,GREATER GRAND CROSSING,0,218.0,3.6333334,14.0,-6.0
70,ASHBURN,0,350.0,5.8333335,30.0,-10.0
71,AUBURN GRESHAM,2,250.0,4.1666665,15.0,-14.0
72,BEVERLY,1,189.0,3.15,20.0,3.0
73,WASHINGTON HEIGHTS,2,201.0,3.35,17.0,-3.0
74,MOUNT GREENWOOD,1,164.0,2.7333333,29.0,0.0
75,MORGAN PARK,0,139.0,2.3166666,10.0,5.0
76,OHARE,0,79.0,1.3166667,12.0,-2.0
77,EDGEWATER,1,208.0,3.4666667,15.0,14.0
